state,year,first_second_vote,voters_eligible,votes_valid,cdu_csu,spd,fdp,kpd,dp,drp,npd,rsf,gb_bhe,gpd,dfu,ep,aud,fsu,dg,adf,gvp,bdd,independent
Hamburg,1949,second,1141214,905444,178786,358873,143371,76747,118583,10838,,13830,,,,,,,,,,,4416
Hamburg,1953,first,1241880,1047678,215376,416865,186694,41108,120958,22169,,,31348,,,,,,,,1316,,
Hamburg,1953,second,1241880,1047678,389335,403410,108722,40278,62123,17101,,,26133,,,,,,,,12881,,
Hamburg,1957,first,1328657,1166080,445149,538847,105558,,48837,8369,,,1495,,,,,,180,,,419,
Hamburg,1957,second,1328657,1154259,432262,528645,108451,,54144,905,,,16757,,,,,,â€“,,,495,
Hamburg,1961,first,1386411,1209644,392417,570382,182919,,,10175,,,,11081,42670,,,,,,,,
Hamburg,1961,second,1386411,1209644,380613,560038,187255,,,10541,,,,11848,43442,,,,,,,,
Hamburg,1965,first,1392994,1179133,452116,584560,92513,,,,19171,,,,29022,,286,1465,,,,,
Hamburg,1965,second,1392994,1187079,446133,572859,112047,,,,20938,,,,32051,,1423,1628,,,,,
Hamburg,1969,first,1341494,1160584,392088,670856,45340,,,,33886,,,,,2980,,1305,,13114,,,1015
Hamburg,1969,second,1341494,1166809,397246,637051,73206,,,,40814,,,,,3329,,1510,,13653,,,
